№,Hours,Minutes,Seconds,Microseconds
1,19,9,47,723872
2,19,9,47,828995
3,19,9,47,934068
4,19,9,48,39123
5,19,9,48,144240
6,19,9,48,249370
7,19,9,48,354510
8,19,9,48,459785
9,19,9,48,563904
10,19,9,48,669179
11,19,9,48,773593
12,19,9,48,878253
13,19,9,48,978598
14,19,9,49,84699
15,19,9,49,189803
16,19,9,49,294516
17,19,9,49,394868
18,19,9,49,500015
19,19,9,49,602303
20,19,9,49,706971
21,19,9,49,810632
22,19,9,49,911973
23,19,9,50,13473
24,19,9,50,118738
25,19,9,50,223359
26,19,9,50,328236
27,19,9,50,430890
28,19,9,50,535947
29,19,9,50,641109
30,19,9,50,746243
31,19,9,50,851406
32,19,9,50,956655
33,19,9,51,61687
34,19,9,51,166700
35,19,9,51,270041
36,19,9,51,373621
37,19,9,51,478585
38,19,9,51,582205
39,19,9,51,685531
40,19,9,51,786704
41,19,9,51,887489
42,19,9,51,990302
43,19,9,52,91679
44,19,9,52,195342
45,19,9,52,298168
46,19,9,52,402451
47,19,9,52,503835
48,19,9,52,608591
49,19,9,52,713539
50,19,9,52,814499
51,19,9,52,918262
52,19,9,53,23350
53,19,9,53,128335
54,19,9,53,232129
55,19,9,53,336653
56,19,9,53,437799
57,19,9,53,541494
58,19,9,53,644895
59,19,9,53,749370
60,19,9,53,853595
61,19,9,53,958733
62,19,9,54,63989
63,19,9,54,168612
64,19,9,54,271962
65,19,9,54,374407
66,19,9,54,478207
67,19,9,54,583503
68,19,9,54,686619
69,19,9,54,791112
70,19,9,54,895308
71,19,9,54,996741
72,19,9,55,99332
73,19,9,55,203327
74,19,9,55,305369
75,19,9,55,410642
76,19,9,55,511529
77,19,9,55,612075
78,19,9,55,716633
79,19,9,55,819579
80,19,9,55,919942
81,19,9,56,20984
82,19,9,56,123871
83,19,9,56,228278
84,19,9,56,332776
85,19,9,56,436630
86,19,9,56,540361
87,19,9,56,644990
88,19,9,56,748711
89,19,9,56,853558
