№,Марка,Пробег,Цена,Фото
1,"Hyundai Santa Fe DM [рестайлинг] Premium кроссовер , 2016",132000 км,27500$ ,https://i.cars.kg/preview/r/p3m_UCOeV5qlheK0F-6YQA/1080x-/20221110/bb0db10688b0c85e3529b4c0ee85c517.jpeg
2,"Lexus LX 2 поколение Внедорожник , 1998",308000 км,10000$ ,https://i.cars.kg/preview/r/vvD7H5R7Jiv1cGCjjlIA5w/1080x-/20221108/79f4eeddebf4fdcb89515813d9942d8f.jpg
3,"ВАЗ (Lada) Kalina 1 поколение 1117 универсал , 2008",Нет пробега!,1500$ ,https://i.cars.kg/preview/r/73oM5Fpk6tBDSS3rSHaLSw/1080x-/20221106/ecadf253f16be428fe72ebafecbb90ab.jpg
4,"Isuzu Axiom 1 поколение Внедорожник , 2004",154000 км,7800$ ,https://i.cars.kg/preview/r/fiGpXhS0aXt9P8lzzX9roQ/1080x-/20221101/e8101f54b36c569ae49bcb07d7b6ac28.jpg
5,"Hyundai Santa Fe DM [рестайлинг] Premium кроссовер , 2015",175000 км,24500$ ,https://i.cars.kg/preview/r/KBxSOECPiuxHC6hYI5V9EA/1080x-/20221110/ff82547edc289a0985c4f376db72c530.jpg
6,"Toyota Camry XV50 [рестайлинг] , 2016",1 км,18000$ ,https://i.cars.kg/preview/r/5glV0K0QimdBJnmq0bMeOw/1080x-/20221110/88369737aaa60c95237bcc125acdea33.jpg
7,"Toyota Crown S180 [рестайлинг] Седан , 2006",68000 км,12300$ ,https://i.cars.kg/preview/r/tnaoPTY3IRBM7cQ9M4KqQQ/1080x-/20221110/c8813fe6df4294d6dec21fcfc715059f.jpg
8,"Mercedes-Benz , 2001",Нет пробега!,9500$ ,https://i.cars.kg/preview/r/xALfqtu4JLTV-_ZVYxf3vQ/1080x-/20221110/ff9844aff9fe4f40313e2357c3060116.jpg
9,"Mazda 6 1 поколение Седан , 2003",215000 км,6100$ ,https://i.cars.kg/preview/r/PzODF35X6i3CRtZCKMQLQw/1080x-/20221110/3d32b955bfd26a5484bfb75c6d5e33d3.jpg
10,"Mercedes-Benz Sprinter , 2009",Нет пробега!,15000$ ,https://i.cars.kg/preview/r/MtdbfLXXgz-GaFOVWAJkZw/1080x-/20221110/1d012120d967a6f454dbdec99d99ec4f.jpg
11,"Hyundai Sonata , 2017",173000 км,13900$ ,https://i.cars.kg/preview/r/9NI4D2rzYmmy13MErKzszA/1080x-/20221110/38272c9030801302eb7893b7265e5a8b.jpg
12,"BMW Х7, 2019",40000 км,125000$ ,https://i.cars.kg/preview/r/tH2E9IN39G43GLSyIzFUUg/1080x-/20221110/395fa06d3cd30f0bd4466ae77fa90e63.jpg
13,"Lexus ES 6 поколение Седан , 2012",136000 км,23000$ ,https://i.cars.kg/preview/r/H-1v4ocAsJcfOHY1yJc1XA/1080x-/20221109/a1502663a95bd0cb7a778b15891bf40f.webp
14,"Toyota Camry XV50 [рестайлинг] Седан , 2018",74000 км,26500$ ,https://i.cars.kg/preview/r/A1DZVtTazS95EgCCHSNQ-g/1080x-/20221109/5308a248ce7f118d5b74596cec046270.jpg
15,"Lexus LX 3 поколение Внедорожник , 2008",1 км,32800$ ,Нет картинки!
16,"Lexus GX 1 поколение Внедорожник , 2008",1 км,29900$ ,https://i.cars.kg/preview/r/MHpw4M8Mj1cGjWukfiMw_w/1080x-/20221109/0f1201bb40ebddcbfab128a29d0c39bc.jpg
17,"BMW X5 E70 , 2007",244000 км,15000$ ,https://i.cars.kg/preview/r/eOXhWtdaeEu9DM6zA9sx0A/1080x-/20221109/ecc0257998b40834ce23386d951e6795.jpg
18,"Toyota Vellfire , 2008",186000 км,18000$ ,Нет картинки!
